Input 1:
5
283280121 782916802
317664929 898415172
951133776 376367013
961148050 385599125
980913391 847912645

Output 1:
1418670047

Input 2:
50
36616963 35887002
38070714 495529501
79292652 229453232
88242680 700680580
137857688 413115088
179882058 480538711
196842555 623621497
201411561 930064341
235492265 264125858
238176883 201620672
238387441 531682046
254029772 950305054
291672611 722032663
340789259 890185621
356294983 203393748
367753702 242882326
375621149 336628938
388266395 252551113
418416931 270027322
441381803 788912528
506995906 872449795
522278872 914689320
538015463 457419763
538832788 47584891
540671906 215602397
560013448 126478507
593760457 2628387
610348800 235616181
668066226 170226832
679783990 171274023
683427743 559301752
700528228 610051112
727328509 867529847
737812220 884493567
747688776 107231383
771854880 916901718
772894889 944088968
783725811 742261681
823860276 896193555
843391076 398722857
866638949 551120745
891134170 633761602
923620442 986091986
926070958 326905396
929678215 321924654
930211560 461283594
950540066 820099707
955372388 594944846
975099001 434725536
976015955 978145894

Output 2:
8485548331

Input 3:
5
0 9
10 4
15 7
30 10
30 9

Output 3:
9

Input 4:
50
487706 119659344
4080371 967838129
7863143 797762645
9361848 539221796
22888493 142102482
27592708 611298565
29130952 854671993
65595465 104576384
66288118 194879400
68765513 26367219
70498307 874368266
174260196 913929115
175679615 308585876
180047190 52602162
194435589 429754201
201384166 114673012
222634400 208442731
239697689 835175471
254065061 694451805
271062208 578646122
333961924 324019889
336906181 900464030
409617807 615448498
431098638 148834388
516631496 436533893
543771279 29132945
585445692 593951356
603236774 713893904
628896716 302869266
676537797 206323720
678995092 976381723
682111322 496887795
692134770 533881497
701794212 68187682
704380635 733794326
753067776 450723670
757782965 264845318
762108851 407784436
773379847 193003008
775661614 254369620
786166049 329338105
793446473 9878839
858636239 742132465
871832073 264986656
891653076 49240670
923314579 687524372
934504950 861289137
946885385 254902618
948249666 853779203
986021138 205616567

Output 4:
6667863382
